operating_point,threshold,reference_energy_kev,label,sideband_mode,base_peak_to_background,filtered_peak_to_background,pb_improvement_factor_vs_no_cut,net_peak_retention_vs_no_cut,statistically_reliable
superseded_global_0p437,0.437,209.253,209.3 keV Ac-228,both,0.18180319906261194,0.1912543129841744,1.051985410434431,0.8452923111482138,True
superseded_global_0p437,0.437,238.632,238.6 keV Pb-212,both,3.2424091897830154,3.381626838428392,1.0429364834901338,0.8545421454929742,True
superseded_global_0p437,0.437,300.087,300.1 keV Pb-212,both,0.4336614159981936,0.474913923639097,1.0951260732891102,0.8276780005709148,True
superseded_global_0p437,0.437,409.462,409.5 keV Ac-228,both,0.4065640680783436,0.4862729006181099,1.1960547888959205,0.8288939564137853,True
superseded_global_0p437,0.437,510.770,510.8 keV Tl-208/pair,both,2.626020190505916,3.207938565399672,1.2215970680642965,0.8094349349141114,True
superseded_global_0p437,0.437,583.191,583.2 keV Tl-208,higher_only,8.83743208990633,11.13410420923604,1.2598800303034696,0.8210452546307008,True
superseded_global_0p437,0.437,727.330,727.3 keV Bi-212,both,2.320736265459476,2.9523317817996313,1.2721530773403533,0.8399448921649815,True
superseded_global_0p437,0.437,911.204,911.2 keV Ac-228,higher_only,26.51675298941764,34.34565263701731,1.295243525884336,0.8510767524926325,True
superseded_global_0p437,0.437,1247.080,1247.1 keV Ac-228,both,0.6773378751259099,0.8928823038734766,1.31822290862961,0.8123542710502719,True
superseded_global_0p437,0.437,1460.830,1460.8 keV K-40/background,both,1.2559366235189826,1.5516335204731406,1.2354393457574722,0.8042020191508871,True
reoptimized_global,0.459,209.253,209.3 keV Ac-228,both,0.18180319906261194,0.19339970775610713,1.0637860541139401,0.7721194710633802,True
reoptimized_global,0.459,238.632,238.6 keV Pb-212,both,3.242409189783015,3.4132068425897413,1.0526761561572542,0.7876939964574958,True
reoptimized_global,0.459,300.087,300.1 keV Pb-212,both,0.43366141599819363,0.4884961320062283,1.1264459183711726,0.7760571517453044,True
reoptimized_global,0.459,409.462,409.5 keV Ac-228,both,0.40656406807834355,0.5068649815360357,1.2467038317768024,0.7907757635882406,True
reoptimized_global,0.459,510.770,510.8 keV Tl-208/pair,both,2.626020190505916,3.3006445512367337,1.2568999138581824,0.7707542870623627,True
reoptimized_global,0.459,583.191,583.2 keV Tl-208,higher_only,8.83743208990633,11.400547630997407,1.2900294469044395,0.7847269145742298,True
reoptimized_global,0.459,727.330,727.3 keV Bi-212,both,2.320736265459476,3.036891215874864,1.3085895459446353,0.8106292992946911,True
reoptimized_global,0.459,911.204,911.2 keV Ac-228,higher_only,26.51675298941764,34.87950901174759,1.3153763217414807,0.8221776215892517,True
reoptimized_global,0.459,1247.080,1247.1 keV Ac-228,both,0.6773378751259099,0.8970824094517061,1.3244238103250139,0.7722777877832081,True
reoptimized_global,0.459,1460.830,1460.8 keV K-40/background,both,1.2559366235189826,1.6161202631079121,1.2867848845586958,0.785132361625238,True
sensitivity_excluding_209,0.44,209.253,209.3 keV Ac-228,both,0.18180319906261191,0.18989525552899542,1.044509978416808,0.8293105270110808,True
sensitivity_excluding_209,0.44,238.632,238.6 keV Pb-212,both,3.2424091897830154,3.383767809243278,1.0435967859657227,0.8459541497750476,True
sensitivity_excluding_209,0.44,300.087,300.1 keV Pb-212,both,0.4336614159981936,0.47729611470020383,1.100619278294733,0.8217406468756216,True
sensitivity_excluding_209,0.44,409.462,409.5 keV Ac-228,both,0.40656406807834355,0.48939913529780515,1.2037441911947309,0.8251127998957369,True
sensitivity_excluding_209,0.44,510.770,510.8 keV Tl-208/pair,both,2.626020190505916,3.2182359941996714,1.2255183740912754,0.8045843508361298,True
sensitivity_excluding_209,0.44,583.191,583.2 keV Tl-208,higher_only,8.83743208990633,11.184682951879854,1.2656032700556121,0.8164945471878077,True
sensitivity_excluding_209,0.44,727.330,727.3 keV Bi-212,both,2.320736265459476,2.966381014885098,1.2782068600534378,0.8363000670149904,True
sensitivity_excluding_209,0.44,911.204,911.2 keV Ac-228,higher_only,26.516752989417643,34.55262885640626,1.3030490147189435,0.8473635177380988,True
sensitivity_excluding_209,0.44,1247.080,1247.1 keV Ac-228,both,0.6773378751259099,0.8878538943845845,1.3107991255022347,0.8046130602866975,True
sensitivity_excluding_209,0.44,1460.830,1460.8 keV K-40/background,both,1.2559366235189826,1.5726018834437985,1.2521347446956026,0.8059917575416387,True
maximum_reliable_pb,0.5035000000000001,209.253,209.3 keV Ac-228,both,0.18180319906261194,0.19359305713516095,1.0648495633373791,0.5595828236067557,True
maximum_reliable_pb,0.5035000000000001,238.632,238.6 keV Pb-212,both,3.242409189783016,3.489693978501505,1.0762657561845357,0.6136764925581014,True
maximum_reliable_pb,0.5035000000000001,300.087,300.1 keV Pb-212,both,0.4336614159981935,0.5016866687649368,1.1568625897006863,0.6239216288392463,True
maximum_reliable_pb,0.5035000000000001,409.462,409.5 keV Ac-228,both,0.40656406807834355,0.5447745455202944,1.3399475957017384,0.6896396550467531,True
maximum_reliable_pb,0.5035000000000001,510.770,510.8 keV Tl-208/pair,both,2.626020190505916,3.5028638181196583,1.3339058971381381,0.6798316215686294,True
maximum_reliable_pb,0.5035000000000001,583.191,583.2 keV Tl-208,higher_only,8.83743208990633,12.073771479205885,1.3662081197767777,0.6999919209536832,True
maximum_reliable_pb,0.5035000000000001,727.330,727.3 keV Bi-212,both,2.320736265459476,3.2276066225461753,1.3907683826827046,0.7390443805119105,True
maximum_reliable_pb,0.5035000000000001,911.204,911.2 keV Ac-228,higher_only,26.51675298941764,36.84856205859701,1.389633265932017,0.7520364861526674,True
maximum_reliable_pb,0.5035000000000001,1247.080,1247.1 keV Ac-228,both,0.6773378751259099,0.9618622867996242,1.4200627517261222,0.706743425533968,True
maximum_reliable_pb,0.5035000000000001,1460.830,1460.8 keV K-40/background,both,1.2559366235189826,1.6180355703533642,1.2883098876596368,0.6819767842718316,True
no_brainer_conservative,0.268,209.253,209.3 keV Ac-228,both,0.18180319906261194,0.18436958594446767,1.014116291105372,0.9988314233159749,True
no_brainer_conservative,0.268,238.632,238.6 keV Pb-212,both,3.2424091897830154,3.279142402106716,1.0113289872356175,0.9991990686711351,True
no_brainer_conservative,0.268,300.087,300.1 keV Pb-212,both,0.4336614159981935,0.4415453375532305,1.018179900872412,1.001108752882501,True
no_brainer_conservative,0.268,409.462,409.5 keV Ac-228,both,0.40656406807834355,0.41824503134592494,1.02873092873847,0.9970397050804809,True
no_brainer_conservative,0.268,510.770,510.8 keV Tl-208/pair,both,2.626020190505916,2.7183585766694174,1.0351628622267797,0.9852427516141075,True
no_brainer_conservative,0.268,583.191,583.2 keV Tl-208,higher_only,8.83743208990633,9.228754108779832,1.0442800595119086,0.9846503648912145,True
no_brainer_conservative,0.268,727.330,727.3 keV Bi-212,both,2.320736265459476,2.461897494317761,1.0608260537654575,0.9875998759897829,True
no_brainer_conservative,0.268,911.204,911.2 keV Ac-228,higher_only,26.51675298941764,28.36147971808985,1.0695683490889103,0.9836349702554769,True
no_brainer_conservative,0.268,1247.080,1247.1 keV Ac-228,both,0.6773378751259099,0.7396785544114522,1.0920377873065992,0.9773623317066059,True
no_brainer_conservative,0.268,1460.830,1460.8 keV K-40/background,both,1.2559366235189826,1.349729170366673,1.0746793628685618,0.9783024766791127,True
