energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
0.5,24,0
1.5,35,0
2.5,46,0
3.5,38,0
4.5,38,0
5.5,42,0
6.5,40,0
7.5,55,0
8.5,49,0
9.5,55,0
10.5,61,1
11.5,47,0
12.5,56,0
13.5,51,0
14.5,66,0
15.5,74,0
16.5,85,0
17.5,83,0
18.5,84,0
19.5,73,0
20.5,91,0
21.5,73,0
22.5,89,0
23.5,73,0
24.5,75,0
25.5,72,0
26.5,83,0
27.5,79,0
28.5,81,0
29.5,104,0
30.5,94,0
31.5,105,0
32.5,79,0
33.5,72,0
34.5,81,0
35.5,92,0
36.5,91,1
37.5,101,0
38.5,93,0
39.5,89,0
40.5,108,0
41.5,110,0
42.5,107,0
43.5,104,0
44.5,106,1
45.5,106,1
46.5,135,2
47.5,136,2
48.5,114,0
49.5,143,3
50.5,150,2
51.5,144,1
52.5,150,5
53.5,175,0
54.5,160,4
55.5,165,1
56.5,195,5
57.5,189,6
58.5,209,5
59.5,189,7
60.5,202,7
61.5,244,14
62.5,228,12
63.5,229,17
64.5,232,18
65.5,258,21
66.5,259,32
67.5,285,30
68.5,267,33
69.5,330,59
70.5,313,44
71.5,337,76
72.5,365,81
73.5,368,63
74.5,418,91
75.5,386,77
76.5,433,92
77.5,451,112
78.5,477,126
79.5,540,132
80.5,563,154
81.5,562,132
82.5,658,184
83.5,628,146
84.5,668,177
85.5,798,222
86.5,793,206
87.5,812,217
88.5,866,234
89.5,1037,271
90.5,1041,270
91.5,1108,272
92.5,1177,286
93.5,1159,303
94.5,1194,305
95.5,1355,373
96.5,1350,346
97.5,1535,432
98.5,1584,452
99.5,1812,507
100.5,1903,493
101.5,2139,608
102.5,2384,646
103.5,2582,680
104.5,2605,749
105.5,2828,809
106.5,2875,865
107.5,2792,831
108.5,2905,859
109.5,2959,853
110.5,3040,919
111.5,3159,1021
112.5,3230,1048
113.5,3367,1093
114.5,3553,1172
115.5,3681,1231
116.5,3789,1279
117.5,3741,1280
118.5,3821,1317
119.5,3971,1371
120.5,4005,1358
121.5,4216,1555
122.5,4287,1603
123.5,4445,1622
124.5,4486,1659
125.5,4597,1726
126.5,4558,1803
127.5,4670,1805
128.5,4745,1895
129.5,4728,1910
130.5,4669,1946
131.5,4480,1835
132.5,4562,1912
133.5,4517,1933
134.5,4353,1870
135.5,4498,2023
136.5,4491,2011
137.5,4536,2076
138.5,4662,2135
139.5,4601,2120
140.5,4690,2153
141.5,4641,2219
142.5,4761,2321
143.5,4674,2278
144.5,4949,2434
145.5,4805,2402
146.5,4970,2530
147.5,4824,2509
148.5,4802,2472
