reference_energy_kev,label,sideband_mode,optimal_threshold,relative_detection_limit,relative_detection_limit_change_percent,background_limited_relative_detection_limit,raw_net_peak_retention,signal_efficiency,background_retention,peak_to_background,pb_improvement_factor,critical_level_counts,detection_limit_counts,no_cut_detection_limit_counts,bootstrap_replicates,bootstrap_valid_replicates,bootstrap_threshold_median,bootstrap_threshold_ci95_low,bootstrap_threshold_ci95_high,bootstrap_fixed_threshold_relative_detection_limit_median,bootstrap_fixed_threshold_relative_detection_limit_ci95_low,bootstrap_fixed_threshold_relative_detection_limit_ci95_high,bootstrap_supports_improvement,relative_detection_limit_at_0p266,relative_detection_limit_at_0p388
209.253,209.3 keV Ac-228,both,0.2805,0.9919711593506957,-0.8028840649304314,0.9919458490184554,0.9999904627652875,0.9999904627652875,0.9839369630474543,0.1841563457987773,1.0163155774411727,426.1661172056115,855.0377778653183,861.9665245093884,500,500,0.297,0.0875,0.412,0.9922227338514368,0.9912219325703246,1.0026472075576631,False,0.9940328860403326,1.012281672607759
238.632,238.6 keV Pb-212,both,0.247,0.9944460593854185,-0.5553940614581476,0.9944268639395157,0.9997367545586411,0.9997367545586411,0.9883714425469073,3.3051114148801815,1.0114990291326575,407.57069423577235,817.8469319256401,822.6311275223773,500,500,0.254,0.225,0.3235,0.9943949356085839,0.9931184098417823,0.9957270524979138,True,0.9945323271879527,1.0139190304288648
300.087,300.1 keV Pb-212,both,0.294,0.9874797639555305,-1.2520236044469502,0.9874271488065538,0.9998827170698039,0.9998827170698039,0.9747831782731684,0.4537038040724937,1.0257488427745536,320.79687748796044,644.2992984300163,652.544888638587,500,500,0.301,0.2805,0.3632625,0.9878373640274539,0.9862842102029045,0.9940468881468959,True,0.9916958723416699,1.0165595985817635
409.462,409.5 keV Ac-228,both,0.3435,0.9710515903993686,-2.8948409600631386,0.9707476738347062,0.9702667499224761,0.9702667499224761,0.887137559598316,0.46497515594773003,1.093704960887689,249.83977086247822,502.3850851790519,533.2161378265457,500,500,0.3435,0.3185,0.4654624999999998,0.9705205991297157,0.9517772077040678,0.9895264999190319,True,0.9904768893631706,0.9935721902192033
510.77,510.8 keV Tl-208/pair,both,0.323,0.9858757295279142,-1.4124270472085754,0.9855432059500432,0.9529748394202241,0.9529748394202241,0.8820887758762724,2.84186928179919,1.080361597928205,242.50858279022606,487.72270903454756,519.121920363109,500,500,0.3405,0.2905,0.382,0.985897369043043,0.9801091102498762,0.9909254686012766,True,0.9902868523250827,0.9911112570029066
583.191,583.2 keV Tl-208,higher_only,0.3165,0.9738580370126035,-2.614196298739646,0.9735119484546774,0.957934133549739,0.957934133549739,0.8696687594717472,9.844162310181728,1.1014930950625452,255.36054575953514,513.4266349731657,550.3602934081163,500,500,0.3165,0.3005,0.41,0.9740795176873788,0.9677853897881193,0.9803226294420203,True,0.9861465679641677,0.9801400882021243
727.33,727.3 keV Bi-212,both,0.4025,0.9636985486005598,-3.6301451399440188,0.9626389756587403,0.8843620558955866,0.8843620558955866,0.724749801853922,2.8842700019997936,1.2202308350183384,181.57657123317694,365.85868592044926,429.2813930247935,500,500,0.4025,0.325,0.45254999999999995,0.9636493662303741,0.95122538492801,0.9798131449093382,True,0.9784974462180079,0.9675469372687336
911.204,911.2 keV Ac-228,higher_only,0.418,0.9467367446119445,-5.326325538805554,0.9448010470646849,0.8732755557615361,0.8732755557615361,0.6807432432432432,35.06699751861042,1.2828266228556562,114.38534934162423,231.4762421373439,279.97927605705087,500,500,0.416,0.3975,0.484,0.9464824272089047,0.9261042152601682,0.966733641854515,True,0.9744780188808947,0.95531601689702
1247.08,1247.1 keV Ac-228,both,0.281,0.9565833209357405,-4.3416679064259505,0.9557262543383331,0.9766366332997783,0.9766366332997783,0.8712077860208159,0.760970631809411,1.1210145833986422,99.20711475207817,201.11977295825176,215.27765565665354,500,500,0.3045,0.2467375,0.49504999999999993,0.9584475671333174,0.9272203026373499,0.9943791828618501,True,0.9656019068194948,0.9772096997689966
1460.83,1460.8 keV K-40/background,both,0.244,0.9725863569779262,-2.741364302207383,0.9720777150849131,0.994386696163583,0.994386696163583,0.934312498591286,1.3470289186893816,1.0642977565459888,84.98721277926944,172.67996901263427,178.54943637436287,500,500,0.36575,0.2345,0.47026249999999997,0.9737822442025827,0.9579053653790807,0.9982318267331245,True,0.9779869966992712,0.990116622989231
