method,peak_id,auroc,average_precision,event_count,positive_count,negative_count
waveform_A_over_Q,ba133_356kev,0.5755660448322552,0.54951205167891,15640,7820,7820
waveform_A_over_Q,cs137_662kev,0.5453382983197896,0.5183812008174238,9118,4559,4559
waveform_A_over_Q,na22_511kev,0.554544032104397,0.5304370832701047,9838,4919,4919
waveform_A_over_Q,overall,0.5592956481060722,0.5352806403117589,,,
max_I_over_shaped_energy,ba133_356kev,0.5914133378248442,0.5593585121809272,15640,7820,7820
max_I_over_shaped_energy,cs137_662kev,0.5553167288613077,0.5246484402854176,9118,4559,4559
max_I_over_shaped_energy,na22_511kev,0.5678584035144498,0.5390383658880167,9838,4919,4919
max_I_over_shaped_energy,overall,0.5641853181438548,0.5389084555988904,,,
frozen_DS_CNN,ba133_356kev,0.6230863710990902,0.5982748531708877,15640,7820,7820
frozen_DS_CNN,cs137_662kev,0.6875815181528948,0.668109576420197,9118,4559,4559
frozen_DS_CNN,na22_511kev,0.6761455481214871,0.6554200975953559,9838,4919,4919
frozen_DS_CNN,overall,0.6566743216825258,0.6368829336607157,,,
