pair_id,partition,peak_id,match_bin_index,match_bin_low_kev,positive_label,positive_source,positive_hdf5,positive_row,positive_event_id,positive_energy_kev,positive_qc_status,negative_label,negative_source,negative_hdf5,negative_row,negative_event_id,negative_energy_kev,negative_qc_status,source_weight
ba356_train_00000000,train,ba133_356kev,714,357.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_101223_thr10_1.h5,84688,91042,357.3486633300781,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_180957_thr10_1.h5,8569,9097,357.1927490234375,PASS,1.0
ba356_train_00000001,train,ba133_356kev,708,354.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200044_thr10_1.h5,7309,15854,354.41119384765625,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_133245_thr10_1.h5,79223,84238,354.4339904785156,WARN,1.0
ba356_train_00000002,train,ba133_356kev,709,354.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,64659,66204,354.97998046875,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_185308_thr10_1.h5,23909,25202,354.8128662109375,PASS,1.0
ba356_train_00000003,train,ba133_356kev,712,356.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_102915_thr10_1.h5,89614,94454,356.0506896972656,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_180957_thr10_1.h5,63539,67130,356.14910888671875,PASS,1.0
ba356_train_00000004,train,ba133_356kev,711,355.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_172028_thr10_1.h5,15063,33575,355.6640930175781,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260810_100143_thr10_1.h5,14709,18119,355.73297119140625,PASS,1.0
ba356_train_00000005,train,ba133_356kev,713,356.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_101223_thr10_1.h5,41207,44348,356.8680725097656,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_205741_thr10_1.h5,65082,69610,356.91680908203125,WARN,1.0
ba356_train_00000006,train,ba133_356kev,712,356.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200044_thr10_1.h5,14517,31199,356.0737609863281,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_225526_thr10_1.h5,86802,93192,356.2298278808594,WARN,1.0
ba356_train_00000007,train,ba133_356kev,712,356.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200044_thr10_1.h5,18770,40417,356.1456604003906,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_174546_thr10_1.h5,61410,64606,356.4657287597656,PASS,1.0
ba356_train_00000008,train,ba133_356kev,712,356.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,1885,1930,356.49346923828125,WARN,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260807_162540_thr10_1.h5,39558,51943,356.2761535644531,WARN,1.0
ba356_train_00000009,train,ba133_356kev,713,356.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_102915_thr10_1.h5,89217,94033,356.6197204589844,WARN,0,na22,processed_data/waveform_hdf5_corrected/na22_preamp_250msps_20260807_183003_thr10_1.h5,3754,4937,356.6052551269531,PASS,1.0
ba356_train_00000010,train,ba133_356kev,715,357.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_195343_thr10_1.h5,310,526,357.579345703125,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_180009_thr10_1.h5,27385,28849,357.634765625,PASS,1.0
ba356_train_00000011,train,ba133_356kev,711,355.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_174148_thr10_1.h5,21759,40519,355.7252502441406,PASS,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260807_151913_thr10_1.h5,15875,21252,355.6165771484375,WARN,1.0
ba356_train_00000012,train,ba133_356kev,713,356.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,7869,8056,356.81890869140625,WARN,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260814_195020_thr10_1.h5,61261,62931,356.9096984863281,WARN,1.0
ba356_train_00000013,train,ba133_356kev,709,354.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_102915_thr10_1.h5,93150,98139,354.5735778808594,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260807_204120_thr10_1.h5,44980,54439,354.7146911621094,WARN,1.0
ba356_train_00000014,train,ba133_356kev,708,354.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,9064,9272,354.3380432128906,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_180957_thr10_1.h5,53277,56263,354.2340087890625,PASS,1.0
ba356_train_00000015,train,ba133_356kev,708,354.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_104154_thr10_1.h5,17152,18202,354.4830017089844,PASS,0,na22,processed_data/waveform_hdf5_corrected/na22_preamp_250msps_20260807_190027_thr10_1.h5,58958,79330,354.44390869140625,WARN,1.0
ba356_train_00000016,train,ba133_356kev,708,354.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_102915_thr10_1.h5,60094,63540,354.16473388671875,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_132450_thr10_1.h5,88559,94729,354.3336486816406,PASS,1.0
ba356_train_00000017,train,ba133_356kev,715,357.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,58092,59496,357.654296875,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_122929_thr10_1.h5,23739,25260,357.5729064941406,WARN,1.0
ba356_train_00000018,train,ba133_356kev,710,355.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_104154_thr10_1.h5,75937,80508,355.31280517578125,PASS,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260814_195020_thr10_1.h5,73881,75928,355.3622741699219,WARN,1.0
ba356_train_00000019,train,ba133_356kev,715,357.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_103749_thr10_1.h5,22163,23560,357.6441345214844,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_230248_thr10_1.h5,62861,66951,357.67919921875,WARN,1.0
ba356_train_00000020,train,ba133_356kev,712,356.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_172028_thr10_1.h5,34145,76242,356.3705749511719,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260807_204120_thr10_1.h5,37385,45276,356.4796447753906,WARN,1.0
ba356_train_00000021,train,ba133_356kev,711,355.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200802_thr10_1.h5,19938,39121,355.9313659667969,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_132052_thr10_1.h5,49150,52255,355.8367004394531,PASS,1.0
ba356_train_00000022,train,ba133_356kev,707,353.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_172028_thr10_1.h5,21952,48914,353.963623046875,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260807_204528_thr10_1.h5,37815,45577,353.9654541015625,PASS,1.0
ba356_train_00000023,train,ba133_356kev,713,356.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_101621_thr10_1.h5,85804,90530,356.7926940917969,PASS,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260807_163357_thr10_1.h5,49984,65282,356.8773498535156,PASS,1.0
ba356_train_00000024,train,ba133_356kev,710,355.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200044_thr10_1.h5,30548,65339,355.1009826660156,WARN,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_scout_250msps_20260807_115211_thr10_1.h5,27710,34222,355.19927978515625,PASS,1.0
ba356_train_00000025,train,ba133_356kev,709,354.5,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_101223_thr10_1.h5,92155,99057,354.8802185058594,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_scout_250msps_20260807_120445_thr10_1.h5,13150,15773,354.56976318359375,PASS,1.0
ba356_train_00000026,train,ba133_356kev,708,354.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_105008_thr10_1.h5,44226,45281,354.05841064453125,WARN,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260814_200734_thr10_1.h5,77959,80135,354.45904541015625,WARN,1.0
ba356_train_00000027,train,ba133_356kev,714,357.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_172028_thr10_1.h5,34957,78111,357.1642150878906,WARN,0,na22,processed_data/waveform_hdf5_corrected/na22_preamp_250msps_20260807_193106_thr10_1.h5,13852,18692,357.4093322753906,WARN,1.0
ba356_train_00000028,train,ba133_356kev,710,355.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260814_101223_thr10_1.h5,33684,36259,355.11590576171875,PASS,0,co60,processed_data/waveform_hdf5_corrected/co60_preamp_250msps_20260814_184819_thr10_1.h5,45631,48030,355.1304931640625,PASS,1.0
ba356_train_00000029,train,ba133_356kev,714,357.0,1,ba133,processed_data/waveform_hdf5_corrected/ba133_preamp_250msps_20260807_200802_thr10_1.h5,6947,13717,357.1585998535156,PASS,0,cs137,processed_data/waveform_hdf5_corrected/cs137_preamp_250msps_20260814_195020_thr10_1.h5,7029,7229,357.160888671875,WARN,1.0
